,INSTANCE,EDGE_DENSITY,AVG_DEGREE,BURNING_NODES,BURNING_EDGES,NODES_IN_DANGER,HEURISTIC,RESULT
2,instances/BBGRL/50_ep0.15_0_gilbert_5.in,0.0946938775510204,0.11337868480725623,0.42,0.03346938775510204,0.82,GDEG,0.92
3,instances/BBGRL/50_ep0.15_0_gilbert_5.in,0.04653061224489796,0.07142857142857142,0.9,0.043673469387755105,0.8,LDEG,0.92
4,instances/BBGRL/50_ep0.15_0_gilbert_5.in,0.04081632653061224,0.0,0.92,0.04081632653061224,0.76,GDEG,0.92
0,instances/BBGRL/50_ep0.2_0_gilbert_4.in,0.2073469387755102,0.20658059142024157,0.02,0.004897959183673469,0.24,LDEG,0.94
1,instances/BBGRL/50_ep0.2_0_gilbert_4.in,0.18612244897959185,0.20022062879205735,0.24,0.037959183673469385,0.84,LDEG,0.94
2,instances/BBGRL/50_ep0.2_0_gilbert_4.in,0.1110204081632653,0.17006802721088438,0.9,0.10081632653061225,0.88,GDEG,0.94
3,instances/BBGRL/50_ep0.2_0_gilbert_4.in,0.09061224489795919,0.0,0.94,0.09061224489795919,0.82,LDEG,0.94
0,instances/BBGRL/50_ep0.15_0_gilbert_2.in,0.14612244897959184,0.14743856726364013,0.02,0.0016326530612244899,0.08,GDEG,0.92
1,instances/BBGRL/50_ep0.15_0_gilbert_2.in,0.13306122448979593,0.1383219954648526,0.08,0.008571428571428572,0.34,GDEG,0.92
2,instances/BBGRL/50_ep0.15_0_gilbert_2.in,0.10775510204081633,0.12900874635568513,0.4,0.035510204081632656,0.74,GDEG,0.92
3,instances/BBGRL/50_ep0.15_0_gilbert_2.in,0.05142857142857143,0.1183673469387755,0.84,0.03959183673469388,0.78,LDEG,0.92
4,instances/BBGRL/50_ep0.15_0_gilbert_2.in,0.031020408163265307,0.0,0.92,0.031020408163265307,0.72,LDEG,0.92
0,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.04868686868686869,0.048872564024079176,0.01,0.00030303030303030303,0.03,LDEG,0.93
1,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.04686868686868687,0.04787457912457912,0.03,0.0009090909090909091,0.09,GDEG,0.93
2,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.042828282828282827,0.04604181348367395,0.12,0.0032323232323232323,0.26,GDEG,0.93
3,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.03494949494949495,0.039589442815249266,0.35,0.010404040404040403,0.61,LDEG,0.93
4,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.02,0.027667984189723323,0.73,0.013636363636363636,0.76,GDEG,0.93
5,instances/BBGRL/100_ep0.05_0_gilbert_1.in,0.011515151515151515,0.005050505050505051,0.93,0.011414141414141415,0.69,LDEG,0.93
0,instances/BBGRL/50_ep0.15_0_gilbert_3.in,0.14122448979591837,0.14035818408996253,0.02,0.003673469387755102,0.18,LDEG,0.92
1,instances/BBGRL/50_ep0.15_0_gilbert_3.in,0.12571428571428572,0.12857142857142856,0.18,0.022857142857142857,0.68,GDEG,0.92
2,instances/BBGRL/50_ep0.15_0_gilbert_3.in,0.08081632653061224,0.10058309037900875,0.68,0.052653061224489796,0.92,GDEG,0.92
3,instances/BBGRL/50_ep0.15_0_gilbert_3.in,0.044897959183673466,0.04081632653061224,0.92,0.044081632653061226,0.88,LDEG,0.92
0,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.02040080160320641,0.020429636828767757,0.002,1.2024048096192385e-05,0.006,LDEG,0.99
1,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.020288577154308617,0.020391589630874653,0.006,6.0120240480961926e-05,0.03,LDEG,0.99
2,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.020056112224448898,0.020252563338735687,0.034,0.0005731462925851704,0.248,GDEG,0.99
3,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.018789579158316635,0.01972189504356903,0.276,0.004629258517034068,0.884,LDEG,0.99
4,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.01172745490981964,0.015062382830176482,0.93,0.010793587174348697,0.944,GDEG,0.99
5,instances/BBGRL/500_ep0.02_0_gilbert_7.in,0.009987975951903807,0.0,0.99,0.009987975951903807,0.904,LDEG,0.99
0,instances/BBGRL/50_ep0.15_0_gilbert_6.in,0.13224489795918368,0.1324448146605581,0.02,0.0024489795918367346,0.12,LDEG,0.94
1,instances/BBGRL/50_ep0.15_0_gilbert_6.in,0.11918367346938775,0.12434741338395824,0.12,0.012244897959183673,0.48,GDEG,0.94
2,instances/BBGRL/50_ep0.15_0_gilbert_6.in,0.09387755102040816,0.11139455782312925,0.48,0.04040816326530612,0.9,GDEG,0.94
3,instances/BBGRL/50_ep0.15_0_gilbert_6.in,0.04163265306122449,0.0,0.94,0.04163265306122449,0.78,GDEG,0.94
0,instances/BBGRL/50_ep0.1_0_gilbert_9.in,0.11346938775510204,0.11411911703456894,0.02,0.0016326530612244899,0.08,LDEG,0.9
1,instances/BBGRL/50_ep0.1_0_gilbert_9.in,0.10448979591836735,0.10929705215419501,0.08,0.006122448979591836,0.28,LDEG,0.9
2,instances/BBGRL/50_ep0.1_0_gilbert_9.in,0.08653061224489796,0.09523809523809525,0.3,0.0236734693877551,0.64,GDEG,0.9
3,instances/BBGRL/50_ep0.1_0_gilbert_9.in,0.045714285714285714,0.06307977736549165,0.72,0.03183673469387755,0.74,GDEG,0.9
4,instances/BBGRL/50_ep0.1_0_gilbert_9.in,0.026122448979591838,0.04081632653061224,0.9,0.025306122448979593,0.62,GDEG,0.9
0,instances/BBGRL/100_ep0.075_0_gilbert_7.in,0.07656565656565656,0.0769309254157739,0.01,0.00040404040404040404,0.04,GDEG,0.96
1,instances/BBGRL/100_ep0.075_0_gilbert_7.in,0.07252525252525252,0.07414571244358478,0.05,0.0028282828282828283,0.26,GDEG,0.96
2,instances/BBGRL/100_ep0.075_0_gilbert_7.in,0.06404040404040404,0.06982872200263504,0.29,0.01585858585858586,0.8,LDEG,0.96
3,instances/BBGRL/100_ep0.075_0_gilbert_7.in,0.038585858585858585,0.04040404040404041,0.88,0.03494949494949495,0.88,LDEG,0.96
4,instances/BBGRL/100_ep0.075_0_gilbert_7.in,0.03212121212121212,0.0,0.96,0.03212121212121212,0.83,GDEG,0.96
0,instances/BBGRL/500_ep0.025_0_gilbert_9.in,0.02464128256513026,0.024606326882221356,0.002,8.41683366733467e-05,0.042,GDEG,0.992
1,instances/BBGRL/500_ep0.025_0_gilbert_9.in,0.02427254509018036,0.02423295227772106,0.044,0.001154308617234469,0.462,LDEG,0.992
2,instances/BBGRL/500_ep0.025_0_gilbert_9.in,0.02188376753507014,0.02310823196781159,0.48,0.009959919839679358,0.972,LDEG,0.992
3,instances/BBGRL/500_ep0.025_0_gilbert_9.in,0.01066933867735471,0.008016032064128256,0.992,0.010653306613226454,0.97,GDEG,0.992
0,instances/BBGRL/500_ep0.02_0_gilbert_8.in,0.019438877755511022,0.019433656892944205,0.002,4.408817635270541e-05,0.022,GDEG,0.992
1,instances/BBGRL/500_ep0.02_0_gilbert_8.in,0.019198396793587175,0.01925822898363462,0.024,0.0004408817635270541,0.204,GDEG,0.992
2,instances/BBGRL/500_ep0.02_0_gilbert_8.in,0.018220440881763528,0.018808825877977036,0.218,0.0035871743486973946,0.83,LDEG,0.992
3,instances/BBGRL/500_ep0.02_0_gilbert_8.in,0.012376753507014029,0.014706833020880472,0.87,0.01055310621242485,0.952,LDEG,0.992
4,instances/BBGRL/500_ep0.02_0_gilbert_8.in,0.009170340681362726,0.0,0.992,0.009170340681362726,0.892,GDEG,0.992
0,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.0503030303030303,0.050403020099989794,0.01,0.00040404040404040404,0.04,LDEG,0.95
1,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.048484848484848485,0.049760765550239235,0.04,0.0012121212121212121,0.11,LDEG,0.95
2,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.043434343434343436,0.04641654641654641,0.14,0.0044444444444444444,0.35,LDEG,0.95
3,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.033535353535353536,0.038027332144979206,0.46,0.014141414141414142,0.75,LDEG,0.95
4,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.015353535353535354,0.017676767676767676,0.92,0.014646464646464647,0.71,GDEG,0.95
5,instances/BBGRL/100_ep0.05_0_gilbert_2.in,0.013939393939393939,0.0,0.95,0.013939393939393939,0.67,GDEG,0.95
0,instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,0.012434434434434434,0.01243585928270613,0.001,1.1011011011011012e-05,0.011,GDEG,0.996
1,instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,0.012356356356356357,0.012351764124813772,0.012,0.00016516516516516518,0.157,GDEG,0.996
2,instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,0.011981981981981983,0.01208075545424943,0.168,0.001954954954954955,0.852,LDEG,0.996
3,instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,0.008702702702702703,0.009708823868115904,0.884,0.007605605605605605,0.964,GDEG,0.996
4,instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,0.006788788788788789,0.0,0.996,0.006788788788788789,0.93,GDEG,0.996
0,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.015062124248496993,0.015076244673716169,0.002,1.6032064128256513e-05,0.008,LDEG,0.988
1,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.014933867735470941,0.014995647861379325,0.008,8.817635270541082e-05,0.044,LDEG,0.988
2,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.014653306613226454,0.014913548026285129,0.05,0.0005450901803607214,0.242,GDEG,0.988
3,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.013458917835671342,0.014435650962942836,0.286,0.0032384769539078157,0.784,GDEG,0.988
4,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.008529058116232465,0.01116078310467088,0.862,0.007078156312625251,0.908,LDEG,0.988
5,instances/BBGRL/500_ep0.015_0_gilbert_2.in,0.006236472945891783,0.002004008016032064,0.988,0.00623246492985972,0.868,LDEG,0.988
0,instances/BBGRL/500_ep0.02_0_gilbert_2.in,0.020120240480961924,0.020124417171015378,0.002,3.6072144288577156e-05,0.018,GDEG,0.99
1,instances/BBGRL/500_ep0.02_0_gilbert_2.in,0.01986372745490982,0.01992942941096918,0.02,0.0003727454909819639,0.162,LDEG,0.99
2,instances/BBGRL/500_ep0.02_0_gilbert_2.in,0.01898196392785571,0.019189598709614352,0.176,0.003246492985971944,0.808,LDEG,0.99
3,instances/BBGRL/500_ep0.02_0_gilbert_2.in,0.013531062124248497,0.016560899576931642,0.85,0.011146292585170341,0.948,LDEG,0.99
4,instances/BBGRL/500_ep0.02_0_gilbert_2.in,0.00965130260521042,0.006012024048096192,0.99,0.00963927855711423,0.914,LDEG,0.99
0,instances/BBGRL/50_ep0.15_0_gilbert_7.in,0.14448979591836736,0.14244064972927947,0.02,0.004897959183673469,0.24,GDEG,0.94
1,instances/BBGRL/50_ep0.15_0_gilbert_7.in,0.12489795918367347,0.13182570325427467,0.24,0.027346938775510202,0.78,GDEG,0.94
2,instances/BBGRL/50_ep0.15_0_gilbert_7.in,0.07673469387755102,0.09912536443148687,0.82,0.06285714285714286,0.86,LDEG,0.94
3,instances/BBGRL/50_ep0.15_0_gilbert_7.in,0.053061224489795916,0.0,0.94,0.053061224489795916,0.78,GDEG,0.94
0,instances/BBGRL/100_ep0.1_0_gilbert_10.in,0.10343434343434343,0.10417304356698297,0.01,0.00030303030303030303,0.03,LDEG,0.96
1,instances/BBGRL/100_ep0.1_0_gilbert_10.in,0.0997979797979798,0.10206228956228956,0.03,0.0018181818181818182,0.17,LDEG,0.96
2,instances/BBGRL/100_ep0.1_0_gilbert_10.in,0.09313131313131313,0.10037079657332822,0.19,0.013838383838383839,0.77,GDEG,0.96
3,instances/BBGRL/100_ep0.1_0_gilbert_10.in,0.06707070707070707,0.07954545454545454,0.81,0.054343434343434346,0.92,GDEG,0.96
4,instances/BBGRL/100_ep0.1_0_gilbert_10.in,0.04606060606060606,0.0,0.96,0.04606060606060606,0.88,LDEG,0.96
0,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.014268537074148296,0.014269018999923694,0.002,2.8056112224448898e-05,0.014,GDEG,0.99
1,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.014092184368737475,0.01411376724936635,0.016,0.00023246492985971943,0.11,LDEG,0.99
2,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.013531062124248497,0.013885569303745104,0.124,0.0014228456913827655,0.5,LDEG,0.99
3,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.01084569138276553,0.012378824634915764,0.576,0.005671342685370741,0.87,GDEG,0.99
4,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.005587174348697395,0.007640280561122244,0.96,0.005342685370741483,0.882,LDEG,0.99
5,instances/BBGRL/500_ep0.015_0_gilbert_8.in,0.005114228456913827,0.0,0.99,0.005114228456913827,0.854,GDEG,0.99
0,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.007465465465465466,0.00746392037683329,0.001,9.00900900900901e-06,0.009,LDEG,0.994
1,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.007431431431431431,0.007458974125640792,0.009,4.704704704704705e-05,0.046,GDEG,0.994
2,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.007307307307307307,0.007415881489955564,0.053,0.0002992992992992993,0.261,GDEG,0.994
3,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.006696696696696697,0.007099451543895988,0.304,0.0017767767767767767,0.812,LDEG,0.994
4,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.004114114114114114,0.005061135902257398,0.889,0.0035725725725725727,0.907,LDEG,0.994
5,instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,0.0031611611611611612,0.002002002002002002,0.994,0.0031591591591591593,0.851,LDEG,0.994
0,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.015286573146292585,0.015297127320773813,0.002,2.004008016032064e-05,0.01,LDEG,0.99
1,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.01517434869739479,0.01524912172523184,0.01,0.00010821643286573147,0.05,LDEG,0.99
2,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.014861723446893788,0.015092017724147656,0.058,0.0007054108216432866,0.31,GDEG,0.99
3,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.01337875751503006,0.014301895716899637,0.35,0.004168336673346693,0.842,LDEG,0.99
4,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.007719438877755511,0.011074781141229827,0.916,0.006877755511022044,0.908,LDEG,0.99
5,instances/BBGRL/500_ep0.015_0_gilbert_10.in,0.006180360721442886,0.0,0.99,0.006180360721442886,0.862,LDEG,0.99
0,instances/BBGRL/50_ep0.15_0_gilbert_8.in,0.15020408163265306,0.15035401915868388,0.02,0.002857142857142857,0.14,GDEG,0.94
1,instances/BBGRL/50_ep0.15_0_gilbert_8.in,0.13387755102040816,0.13539074166251866,0.16,0.022857142857142857,0.74,LDEG,0.94
2,instances/BBGRL/50_ep0.15_0_gilbert_8.in,0.08897959183673469,0.10018552875695733,0.74,0.06693877551020408,0.94,GDEG,0.94
3,instances/BBGRL/50_ep0.15_0_gilbert_8.in,0.054693877551020405,0.0,0.94,0.054693877551020405,0.88,GDEG,0.94
0,instances/BBGRL/50_ep0.1_0_gilbert_8.in,0.08816326530612245,0.08829654310703874,0.02,0.0016326530612244899,0.08,GDEG,0.88
1,instances/BBGRL/50_ep0.1_0_gilbert_8.in,0.0783673469387755,0.08256029684601114,0.1,0.005714285714285714,0.24,LDEG,0.88
2,instances/BBGRL/50_ep0.1_0_gilbert_8.in,0.062040816326530614,0.0784438775510204,0.32,0.01183673469387755,0.44,LDEG,0.88
3,instances/BBGRL/50_ep0.1_0_gilbert_8.in,0.037551020408163265,0.05170068027210884,0.64,0.022040816326530613,0.62,LDEG,0.88
4,instances/BBGRL/50_ep0.1_0_gilbert_8.in,0.015510204081632653,0.02040816326530612,0.88,0.014693877551020407,0.5,GDEG,0.88
0,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.007533533533533534,0.00753606459312165,0.001,5.005005005005005e-06,0.005,GDEG,0.993
1,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.007489489489489489,0.007500955134389173,0.006,4.104104104104104e-05,0.041,LDEG,0.993
2,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.007377377377377378,0.007407617701735349,0.046,0.00032532532532532533,0.272,LDEG,0.993
3,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.006722722722722722,0.007091271242214639,0.308,0.001836836836836837,0.829,LDEG,0.993
4,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.004094094094094094,0.004926274589195937,0.907,0.0036556556556556555,0.911,GDEG,0.993
5,instances/BBGRL/1000_ep0.0075_0_gilbert_7.in,0.0033393393393393394,0.0005005005005005005,0.993,0.0033383383383383384,0.871,GDEG,0.993
0,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.007483483483483483,0.0074839604369133905,0.001,7.007007007007007e-06,0.007,LDEG,0.995
1,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.007451451451451451,0.007469162711098195,0.007,4.204204204204204e-05,0.041,LDEG,0.995
2,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.007341341341341341,0.0074396162724238435,0.047,0.0002662662662662663,0.239,GDEG,0.995
3,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.006784784784784785,0.007135627247359091,0.281,0.0016756756756756757,0.798,GDEG,0.995
4,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.004308308308308308,0.0054607452981436716,0.873,0.0036366366366366366,0.919,LDEG,0.995
5,instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,0.003193193193193193,0.0,0.995,0.003193193193193193,0.868,LDEG,0.995
0,instances/BBGRL/500_ep0.025_0_gilbert_8.in,0.024833667334669338,0.02481917743302236,0.002,6.412825651302605e-05,0.032,LDEG,0.992
1,instances/BBGRL/500_ep0.025_0_gilbert_8.in,0.024569138276553108,0.024745142458830704,0.032,0.0006653306613226453,0.294,LDEG,0.992
2,instances/BBGRL/500_ep0.025_0_gilbert_8.in,0.023142284569138277,0.02396096540907903,0.306,0.006609218436873747,0.966,LDEG,0.992
3,instances/BBGRL/500_ep0.025_0_gilbert_8.in,0.013515030060120241,0.014779559118236472,0.978,0.013278557114228456,0.978,GDEG,0.992
4,instances/BBGRL/500_ep0.025_0_gilbert_8.in,0.013066132264529058,0.0,0.992,0.013066132264529058,0.966,LDEG,0.992
0,instances/BBGRL/500_ep0.025_0_gilbert_1.in,0.024753507014028057,0.02474287251858426,0.002,6.0120240480961926e-05,0.03,LDEG,0.992
1,instances/BBGRL/500_ep0.025_0_gilbert_1.in,0.024496993987975953,0.02465675151956806,0.03,0.0006292585170340682,0.278,LDEG,0.992
2,instances/BBGRL/500_ep0.025_0_gilbert_1.in,0.023046092184368736,0.023632278967156216,0.302,0.006645290581162325,0.936,LDEG,0.992
3,instances/BBGRL/500_ep0.025_0_gilbert_1.in,0.013523046092184368,0.016648681979343303,0.968,0.013090180360721442,0.958,GDEG,0.992
4,instances/BBGRL/500_ep0.025_0_gilbert_1.in,0.012705410821643287,0.0,0.992,0.012705410821643287,0.94,GDEG,0.992
0,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.009917917917917917,0.009915821727633539,0.001,1.2012012012012012e-05,0.012,GDEG,0.995
1,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.009851851851851851,0.00987498654841454,0.013,0.00011511511511511511,0.11,LDEG,0.995
2,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.009587587587587588,0.009693064362768235,0.12,0.001077077077077077,0.647,LDEG,0.995
3,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.007613613613613614,0.00868653888788117,0.699,0.005025025025025025,0.941,LDEG,0.995
4,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.0042602602602602605,0.0025025025025025025,0.994,0.004255255255255256,0.931,GDEG,0.995
5,instances/BBGRL/1000_ep0.01_0_gilbert_6.in,0.00425025025025025,0.0,0.995,0.00425025025025025,0.929,LDEG,0.995
0,instances/BBGRL/500_ep0.02_0_gilbert_1.in,0.019366733466933867,0.019381448267276034,0.002,2.404809619238477e-05,0.012,GDEG,0.992
1,instances/BBGRL/500_ep0.02_0_gilbert_1.in,0.019158316633266535,0.019209150007331737,0.014,0.0002565130260521042,0.12,LDEG,0.992
2,instances/BBGRL/500_ep0.02_0_gilbert_1.in,0.01853306613226453,0.019098381949083355,0.132,0.002032064128256513,0.634,GDEG,0.992
3,instances/BBGRL/500_ep0.02_0_gilbert_1.in,0.014765531062124249,0.017093790229465552,0.692,0.009603206412825652,0.932,LDEG,0.992
4,instances/BBGRL/500_ep0.02_0_gilbert_1.in,0.00808817635270541,0.0,0.992,0.00808817635270541,0.918,GDEG,0.992
0,instances/BBGRL/1000_ep0.01_0_gilbert_10.in,0.010034034034034033,0.010033056079102126,0.001,1.1011011011011012e-05,0.011,GDEG,0.996
1,instances/BBGRL/1000_ep0.01_0_gilbert_10.in,0.00996996996996997,0.009979584447669554,0.012,0.00012012012012012012,0.118,GDEG,0.996
2,instances/BBGRL/1000_ep0.01_0_gilbert_10.in,0.009697697697697698,0.009788458182953597,0.126,0.0011621621621621622,0.702,GDEG,0.996
3,instances/BBGRL/1000_ep0.01_0_gilbert_10.in,0.007615615615615616,0.00875588231910071,0.736,0.00533033033033033,0.959,LDEG,0.996
4,instances/BBGRL/1000_ep0.01_0_gilbert_10.in,0.0043823823823823825,0.0,0.996,0.0043823823823823825,0.947,GDEG,0.996
0,instances/BBGRL/100_ep0.1_0_gilbert_2.in,0.09757575757575758,0.09764309764309764,0.01,0.0009090909090909091,0.09,GDEG,0.96
1,instances/BBGRL/100_ep0.1_0_gilbert_2.in,0.09232323232323232,0.09494949494949495,0.09,0.006868686868686869,0.5,GDEG,0.96
2,instances/BBGRL/100_ep0.1_0_gilbert_2.in,0.07676767676767676,0.08644585388771435,0.55,0.039595959595959594,0.92,GDEG,0.96
3,instances/BBGRL/100_ep0.1_0_gilbert_2.in,0.039191919191919194,0.050505050505050504,0.96,0.038686868686868686,0.92,LDEG,0.96
0,instances/BBGRL/100_ep0.075_0_gilbert_10.in,0.08727272727272728,0.08784817875726966,0.01,0.00030303030303030303,0.03,LDEG,0.96
1,instances/BBGRL/100_ep0.075_0_gilbert_10.in,0.08444444444444445,0.08606902356902357,0.03,0.0018181818181818182,0.16,LDEG,0.96
2,instances/BBGRL/100_ep0.075_0_gilbert_10.in,0.07878787878787878,0.08327174180832718,0.16,0.010505050505050505,0.65,GDEG,0.96
3,instances/BBGRL/100_ep0.075_0_gilbert_10.in,0.05757575757575758,0.07182940516273849,0.7,0.038181818181818185,0.9,GDEG,0.96
4,instances/BBGRL/100_ep0.075_0_gilbert_10.in,0.0298989898989899,0.0,0.96,0.0298989898989899,0.86,LDEG,0.96
0,instances/BBGRL/100_ep0.1_0_gilbert_1.in,0.1008080808080808,0.10049994898479747,0.01,0.0013131313131313131,0.13,LDEG,0.97
1,instances/BBGRL/100_ep0.1_0_gilbert_1.in,0.09494949494949495,0.09631195677707305,0.13,0.012121212121212121,0.73,LDEG,0.97
2,instances/BBGRL/100_ep0.1_0_gilbert_1.in,0.07090909090909091,0.08607817303469478,0.75,0.051111111111111114,0.95,GDEG,0.97
3,instances/BBGRL/100_ep0.1_0_gilbert_1.in,0.04262626262626262,0.0,0.97,0.04262626262626262,0.92,LDEG,0.97
0,instances/BBGRL/500_ep0.015_0_gilbert_6.in,0.014869739478957917,0.014851345978530207,0.002,4.809619238476954e-05,0.024,LDEG,0.99
1,instances/BBGRL/500_ep0.015_0_gilbert_6.in,0.01466933867735471,0.014760527214593458,0.024,0.0002925851703406814,0.13,GDEG,0.99
2,instances/BBGRL/500_ep0.015_0_gilbert_6.in,0.013955911823647294,0.014356503981835404,0.154,0.0018677354709418837,0.628,GDEG,0.99
3,instances/BBGRL/500_ep0.015_0_gilbert_6.in,0.010653306613226454,0.012873428977159618,0.692,0.006765531062124248,0.91,LDEG,0.99
4,instances/BBGRL/500_ep0.015_0_gilbert_6.in,0.005627254509018036,0.006012024048096192,0.99,0.005615230460921844,0.88,GDEG,0.99
0,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.04888888888888889,0.048770533619018466,0.01,0.0006060606060606061,0.06,LDEG,0.91
1,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.04606060606060606,0.04670359509069187,0.06,0.0026262626262626263,0.22,GDEG,0.91
2,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.03939393939393939,0.044893378226711564,0.26,0.007070707070707071,0.48,GDEG,0.91
3,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.026262626262626262,0.0338680926916221,0.63,0.014747474747474747,0.71,GDEG,0.91
4,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.013131313131313131,0.008417508417508417,0.9,0.012626262626262626,0.64,LDEG,0.91
5,instances/BBGRL/100_ep0.05_0_gilbert_9.in,0.012525252525252526,0.005050505050505051,0.91,0.012323232323232323,0.62,GDEG,0.91
0,instances/BBGRL/500_ep0.015_0_gilbert_7.in,0.014653306613226454,0.014654559620242489,0.002,2.8056112224448898e-05,0.014,LDEG,0.99
1,instances/BBGRL/500_ep0.015_0_gilbert_7.in,0.014517034068136273,0.01457793636052593,0.014,0.0001723446893787575,0.082,GDEG,0.99
